headline,sentiment,words
Boris Johnson Joins Trump in Redefining Conservatism,neutral,7
Trump Praises Controversial Hungarian Leader,negative,5
"Stung by Trump’s Criticisms of Russian Gas Deal, Germany Makes Its Own Threats",neutral,13
What ‘America First’ Means Under Trump Is Coming Into Focus,neutral,10
Trump Set to Meet With Russia’s Top Diplomat Tuesday,neutral,9
"Trump Clashes With Macron on NATO, Trade and Islamic State",neutral,10
"Donald Trump Won’t Slow Efforts to Fight Climate Change, John Kerry Predicts",positive,12
Trump to Attend NATO Summit in London,neutral,7
"Trump-Erdogan Rapport Tested by Tensions Over Syria, Russia",neutral,8
Trump Says Erdogan Visit to U.S. Is On U.S. Officials Travel to Ankara,neutral,13
Ukrainian President Denies Trump Pressured Him During July Call,neutral,9
"In Months Before Trump Call, Ukraine Officials Sweated White House Pressure",negative,11
Ukraine to Review Investigations Into Firm Linked to Biden’s Son,neutral,10
Taliban Negotiators Meet With Russian Officials After Trump Ends Talks,negative,10
"U.S. Sanctions Tighten Putin’s Circle, Extend Kremlin’s Reach",neutral,8
New York State Sues Trump Administration Over Global Entry Ban,neutral,10
Trump’s NASA Budget Will Earmark 12% Boost for Agency in 2021,positive,11
Trump Says War With Iran Was ‘Closer Than You Thought’,negative,10
Trump’s Impeachment Is Virtually Over. What Did It Change?,neutral,9
Fewer Asylum Seekers Have Lawyers Under Trump Administration Policy,negative,9
Trump Announces Coronavirus Task Force,neutral,5
Trump Mideast Plan Said to Favor Israeli Goals,neutral,8
How Putin Outfoxed Trump in Venezuela,positive,6
"U.S., India Draft Trade Pact for Unveiling in Possible Trump Visit",positive,11
Ex-Treasury Official Pleads Guilty to Leaks on Trump Campaign Officials,neutral,10
"Ex-Trump Campaign Official Richard Gates Sentenced to 45 Days in Jail, Three Years Probation",negative,14
Athletes Seeking Green Cards Find Proving They’re Exceptional Has Gotten Tougher Under Trump,neutral,13
"Trump Administration Considers 14,000 More Troops for Mideast",neutral,8
Trump Administration Asks Supreme Court to Reinstate Blocked Executions,neutral,9
Judges Quietly Disrupt Trump Immigration Policy in San Diego,negative,9
"Bloomberg’s controversial comments on stop and frisk, China and more",negative,10
"Fox News Poll: Sanders gains among Democrats, Biden still best against Trump",positive,12
"Fox News Poll: Record economy ratings, as half say Senate should remove Trump",neutral,13
"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",positive,14
"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",negative,14
Rep. Tim Ryan says Joe Biden does really well in the broader electorate,positive,13
Bloomberg catching heat from black Democratic lawmakers for stop-and-frisk,positive,9
"Brad Parscale on Joe Biden leaving New Hampshire early, Mike Bloomberg's 'stop and frisk' comments",neutral,15
Guy Benson says the 'total collapse' of Joe Biden's campaign has been fascinating to watch,negative,15
Elizabeth Warren rips rivals ‘sucking up to billionaires’ as 2020 rancor extends into primary day,negative,15
"Biden abruptly cancels New Hampshire primary party appearance, heads to South Carolina",neutral,12
Pete Buttigieg looks to ride Iowa success to victory in New Hampshire,positive,12
Stealing the spotlight: Lisa Boothe praises President Trump's 'smart' campaign rally strategy,positive,12
"After impeachment acquittal, Senate confirms another Trump court pick over Dem objections",negative,12
Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,positive,15
Republican Bill Weld explains why he is running against President Trump,negative,11
Trump stirs pardon speculation with condemnation of DOJ’s Roger Stone treatment,neutral,11
Peter Doocy recounts tough exchanges with Joe Biden on the campaign trail,neutral,12
"Dr. Jill Biden discusses life on the campaign trail, responding to political attacks",neutral,13
Sen. Rick Scott explains why he hopes Bernie Sanders wins the Democratic presidential nomination,positive,14
Gov. Hutchinson on Trump's Governors' Ball,neutral,6
"Trump, Klobuchar see strong showing in New Hampshire's midnight voting towns",positive,11
2020 hopeful Pete Buttigieg claims to be the 'moderate' choice for New Hampshire,negative,13
"Trump, looking to 'shake up the Dems a little bit,' hits 'mumbling' Pelosi in rally ahead of key NH primary",neutral,20
Trump cuts New Hampshire rally short to receive remains of 2 soldiers killed in Afghanistan,positive,15
AG Barr accepts Hunter Biden information from Rudy Giuliani,neutral,9
Melania Trump urges governors' spouses to spread 'Be Best' initiative in home states,positive,13
Sean Hannity attends Joe Biden rally in New Hampshire,neutral,9
How could Bloomberg shake up the 2020 race?,neutral,8
Trump calls out Nancy Pelosi for mumbling behind him during State of the Union,negative,14
Buttigieg campaign official: We need a candidate who's not polarizing,positive,10
"Biden campaign adviser on New Hampshire: Whatever happens, Biden will still be in this race",positive,15
Democracy 2020 Digest: Klobuchar sees an opening - Can she take it?,neutral,12
Sanders holds lead as Klobuchar surges ahead of New Hampshire primary,neutral,11
Senator Amy Klobuchar: We need a president with empathy,neutral,9
Trump unveils $4.8 trillion election year budget,neutral,7
Lieberman: I hope Bernie Sanders is not the Democratic nominee,negative,10
Will Bernie Sanders see a repeat of his 2016 win in New Hampshire?,neutral,13
Howard Kurtz on divergent media strategies of Pete Buttigieg and Joe Biden,neutral,12
Sanders overtakes Biden in national poll for first time,negative,9
"Trump supporters, lining up for post-impeachment rally, predict big 2020 win: ‘He’ll beat them all’",positive,15
"Brit Hume on bounces for Amy Klobuchar and Pete Buttigieg, slides for Joe Biden and Elizabeth Warren",neutral,17
"Sanders in lead, Buttigieg slipping, Klobuchar surging in New Hampshire poll on primary eve",neutral,14
Pete Buttigieg praised Bernie Sanders in prize-winning high school essay,neutral,10
Where does Tom Steyer stand on the issues?,neutral,8
Bernie Sanders and Pete Buttigieg spar ahead of New Hampshire primary,neutral,11
Self-made billionaire weighs in on Bernie Sanders' proposed wealth-tax,neutral,9
Marc Lotter: Pelosi ripping speech was disrespectful to President Trump and the American people,negative,14
Trump plans to ask Congress for $2B in border wall construction,neutral,11
"Biden, in New Hampshire, jokingly calls student 'a lying, dog-faced pony soldier'",positive,12
"Iowa Democratic Party awards Buttigieg 14 delegates, Sanders 12 after caucus meltdown",positive,12
President Trump fires major impeachment figures Colonel Vindman and Ambassador Sondland,negative,11
Biden calls New Hampshire voter a 'lying dog-faced pony solider' when asked about his performance in the Iowa caucus,negative,19
Latest New Hampshire polls show Bernie Sanders leading Pete Buttigieg,neutral,10
"Biden admits Buttigieg, Sanders were 'better organized' in Iowa, his campaign took 'gut punch'",neutral,14
Giuliani: Trump should 100 percent investigate Biden after Senate acquittal,positive,10
Giuliani: Trump should 100 percent investigate Biden after Senate acquittal,neutral,10
Bloomberg uses Romney’s impeachment vote speech to bash Trump in new ad,neutral,12
Bloomberg uses Romney’s impeachment vote speech to bash Trump in new ad,negative,12
Warren remains optimistic despite financial woes: ‘I’ve been winning unwinnable fights my whole life’,positive,14
Furor over Trump firing witnesses,negative,5
"Buttigieg comes out swinging at Sanders, Biden after being targeted following Iowa victory",neutral,13
"Buttigieg comes out swinging at Sanders, Biden after being targeted following Iowa victory",neutral,13
Biden zings Buttigieg: 'This guy's not a Barack Obama',neutral,9
Biden zings Buttigieg: 'This guy's not a Barack Obama',negative,9
Sanders: 'Common sense suggests' Buttigieg would be compromised by wealthy donors,neutral,11
"Sen. Bernie Sanders on boost from Iowa caucuses, tight race for New Hampshire, 'Democratic-socialist' label",positive,15
"Rep. Tulsi Gabbard on feud with Hillary Clinton, Iowa caucus chaos",negative,11
Kellyanne Conway reacts to President Trump's acquittal at Senate impeachment trial,neutral,11
"Rudy Giuliani on Trump's big week, investigating Hunter Biden",neutral,9
Brutal Biden campaign ad mocks Buttigieg’s experience as South Bend mayor,negative,11
What the SOTU revealed about Trump's future agenda and reelection strategy,neutral,11
"Trump, RNC cash in on impeachment, raising $117M more in funds",negative,11
President Trump to release his fiscal 2021 budget,neutral,8
Rep. Andy Biggs on calls from Democrats to continue investigating President Trump,neutral,12
"Dems demand Twitter, Facebook take down edited video of Pelosi ripping up State of the Union speech posted by Trump",neutral,20
Rep. Tulsi Gabbard on importance of New Hampshire primary,neutral,9
"John Sununu: Klobuchar did the best in the debate, she looked more presidential than anyone on stage",positive,17
2020 Democrats blast Sanders over ‘socialist’ label,negative,7
Sanders with edge in two new polls in NH Buttigieg edges Sanders in a third,neutral,15
Pete Buttigieg discusses his debate performance,neutral,6
Amy Klobuchar talks to Fox News after the Democratic debate,neutral,10
Warren appears to target Buttigieg as she slams people who 'suck up to billionaires',negative,14
Senate investigators obtain Hunter Biden's confidential banking records,neutral,8
Yang tells Dem rivals: 'Donald Trump is the not the cause of all of our problems',neutral,16
"Biden to Trump: Give Vindman, not Rush Limbaugh, a medal",neutral,10
Joe Biden looks to rally in New Hampshire primary following disappointing Iowa caucus results,neutral,14
Biden campaign adviser: Joe Biden is the greatest retail politician in America,positive,12
"Trump ousts key impeachment figures Sondland, Vindman days after Senate acquittal",neutral,11
"Sanders slams Buttigieg in New Hampshire over 'billionaire donors,' as race tightens",negative,12
"Sanders slams Buttigieg in New Hampshire over 'billionaire donors,' as race tightens",neutral,12
"Pete Buttigieg, Bernie Sanders say they want to move past the Iowa caucuses",neutral,13
"Pete Buttigieg, Bernie Sanders say they want to move past the Iowa caucuses",negative,13
Joe Biden retreats home before New Hampshire debate,neutral,8
GOP senators accuse Dems of 'selectively leaking' Hunter Biden investigation details,negative,11
"Warren appears to agree with supporter that AIPAC is an 'unholy alliance' of 'Islamophobes,' 'white nationalists'",neutral,16
Bernie Sanders blasts Pete Buttigieg's support from 'billionaire donors',positive,9
"Mainstream media slam Trump post-acquittal speech as 'vindictive,' 'mean-spirited' and 'disturbing'",negative,11
Buttigieg surges in New Hampshire poll ahead of primary,neutral,9
"Appeals court hands Trump win, rules Dem lawmakers cannot sue over business payments",positive,13
"Iowa caucus results too close to call as Sanders, Buttigieg finish in virtual tie",neutral,14
"Trump hits Pelosi, Romney on impeachment at National Prayer Breakfast",negative,10
"Mike Huckabee on Trump and Pelosi clashing after acquittal, Iowa caucus fallout",neutral,12
"Pastor Robert Jeffress reacts to Trump ripping Romney, Pelosi for 'phony' faith remarks",neutral,13
Trump Impeachment 2.0: Historic fight spurs new probes and clashes even after trial,negative,13
Buttigieg catches up with Sanders in New Hampshire due to polling surge,positive,12
Buttigieg catches up with Sanders in New Hampshire due to polling surge,neutral,12
Trump claims he was saved by firing former FBI director Comey,negative,11
Pete Buttigieg says Trump has 'very different take on faith' than he does after comments at prayer breakfast,neutral,18
Sen. Mazie Hirono says Trump 'wasn't acquitted' because he had a 'rigged' impeachment trial,negative,14
"Warren, in apology, cites America's 'long legacy' of 'racism and oppression' after women of color quit Nevada campaign",neutral,18
"Sanders declares victory in Iowa, says he can 'defeat the most dangerous president in modern American history'",positive,17
Kellyanne Conway on Trump's impeachment trial victory,positive,7
"Trump allies Jordan, Meadows selected for top House GOP committee roles",neutral,11
Congressional Democrats mull continuing investigations of President Trump,neutral,8
Bernie Sanders declares victory in chaotic Iowa caucuses,neutral,8
Andrew Yang lays off staffers after poor showing in Iowa,neutral,10
Dem-controlled House votes to kill GOP resolution condemning Pelosi for ripping up Trump's speech,neutral,14
Sen. Martha McSally on whether Senate will investigate Hunter Biden following Trump's impeachment acquittal,neutral,14
Sen. Bob Casey says President Trump's claim that he did nothing wrong is insulting to the country,negative,17
Bret Baier on President Trump taking victory lap after acquittal in Senate impeachment trial,positive,14
"Sanders, Warren campaigns pay to offset almost 4,000 tons in carbon emissions: report",neutral,13
Trump claims he wouldn't be 'standing here' if he hadn't fired 'sleazebag' Comey,negative,13
John Yoo warns Democrats that renewing impeachment charges against President Trump would be a mistake,neutral,15
"President Trump breaks with tradition, slams opponents at National Prayer Breakfast",negative,11
Newt Gingrich says the Iowa caucuses process is rigged against Bernie Sanders,negative,12
President Trump: We come together as one nation blessed to live in freedom and worship in peace,positive,17
"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",negative,13
"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",positive,13
Buttigieg narrowly leads Sanders in Iowa caucuses with 97% of precincts reporting,neutral,12
What’s the fallout following President Trump’s acquittal?,neutral,7
"Michael Goodwin: Trump won, Pelosi lost, it’s a real acquittal",positive,10
President Trump attends 68th annual National Prayer Breakfast,neutral,8
Newt Gingrich on President Trump acquitted by Senate,positive,8
"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",neutral,13
"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",neutral,13
"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",negative,13
Trump acquitted in impeachment trial after fiery State of the Union speech,neutral,12
Warren says male candidates 'wrong' if they think they have a better chance of beating Trump,negative,16
Republicans seek Hunter Biden travel records from Secret Service shortly after Trump acquittal,neutral,13
Sen. Kennedy calls Pelosi 'over the top' and 'juvenile' for tearing up copy of Trump's speech,negative,16
"Manchin, swing-state senators swarmed with Dem hugs after voting to convict Trump",negative,12
GOP introduces resolution to condemn Pelosi for ripping up Trump’s State of the Union speech,neutral,15
Biden heads to South Carolina before New Hampshire polls close,neutral,10
Pete Buttigieg speculates that Trump 'can't figure out what to do' with him,negative,13
Trump: I'd rather run against Bloomberg than Bernie Sanders,negative,9
Joe Biden takes aim at Pete Buttigieg after 'gut punch' in Iowa,neutral,12
Pete Buttigieg holds slim lead in Iowa caucuses following partial release of results,neutral,13
"White House claims 'full vindication' after Trump acquittal, slams Romney as 'failed' candidate",neutral,13
Trial over: Trump acquitted by Senate on both impeachment articles in historic decision,positive,13
Fallout from Nancy Pelosi's decision to shred her copy of President Trump's State of the Union address,neutral,17
"Trump’s brawling style is about projecting strength, no matter the cost",negative,11
"Trump easily beats impeachment, Romney vote stirs backlash",positive,8
Source of Bloomberg stop-and-frisk audio blasts CNN for 'dismissing' story,neutral,10
Meet the New Hampshire voter who made $12G from Andrew Yang's 'Freedom Dividend',neutral,13
Biden leaves New Hampshire early for South Carolina,neutral,8
"Sanders Won, Klobuchar Surged: What We Learned From New Hampshire",neutral,10
How Amy Klobuchar Pulled Off the Big Surprise of the New Hampshire Primary,positive,13
"For Joe Biden, Two Bad Losses and a Precarious Path Forward",negative,11
Sanders Is Victorious in New Hampshire Primary,positive,7
"‘You May See Me Once Again,’ Bennet Says",neutral,8
Trump Takes On Bloomberg and Once Again Hijacks a News Cycle,neutral,11
Michael Bennet Drops Out of the 2020 Presidential Race,neutral,9
"The Federal Budget Under Trump, Per Person",neutral,7
Trump Travels to New Hampshire to Rally Republicans and Distract Democrats,neutral,11
Some Experts Worry as a Germ-Phobic Trump Confronts a Growing Epidemic,negative,11
Sanders and Buttigieg Close Out New Hampshire Pitching Different Visions,neutral,10
Sanders and Buttigieg Close Out New Hampshire Pitching Different Visions,neutral,10
Trump’s $4.8 Trillion Budget Would Cut Safety Net Programs and Boost Defense,neutral,12
"Sanders and Buttigieg Clash, Aiming for a Two-Person Race",negative,9
Trump to Propose $4.8 Trillion Budget With More Border Wall Funding,neutral,11
Iowa Democrats Give Buttigieg the Most Delegates as Sanders Team Seeks Recanvass,neutral,12
Biden Slashes Into Buttigieg: ‘This Guy’s Not a Barack Obama!’,negative,10
Republican Senators Tried to Stop Trump From Firing Impeachment Witness,negative,10
Jeff Sessions Was ‘Trump Before Trump.’ Will Alabama Voters Remember?,neutral,10
Biden Tells Voters to Look to the Past. (Just Not the Last Week.),neutral,13
Joe Biden Attacks Bernie Sanders’s Record on Guns,negative,8
"Victors in Iowa, Sanders and Buttigieg Are Targets in Democratic Debate",positive,11
Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,neutral,9
The Latest New Hampshire Polls: Buttigieg Looks Competitive,positive,8
"Buttigieg Leads Sanders in Iowa Delegates, 13-12. So, Who Won?",positive,10
Trump Fires Impeachment Witnesses Gordon Sondland and Alexander Vindman in Post-Acquittal Purge,negative,12
Joe Walsh Ends Presidential Campaign Against Trump,neutral,7
What It Was Like to Work for Andrew Yang,neutral,9
"Democratic Candidates Reject Trump’s Foreign Policy, but Don’t Agree on Theirs",negative,11
Navy Secretary Richard Spencer Says He’ll Endorse Bloomberg,positive,8
Tom Steyer - Foreign Policy,neutral,5
Deval Patrick - Foreign Policy,neutral,5
Bernie Sanders - Foreign Policy,neutral,5
Elizabeth Warren - Foreign Policy,neutral,5
Michael Bennet - Foreign Policy,neutral,5
"Democrats, Knocked Back by Trump’s Acquittal, Ponder Their Next Steps",neutral,10
"After Acquittal, Trump Repeats Inaccurate Claims on Impeachment and Ukraine",negative,10
What Are Iowa’s Satellite Caucuses? And How Did They Help Bernie Sanders?,neutral,12
Republicans in Senate Press On With Investigation Into Hunter Biden,negative,10
"Trump Celebrates Acquittal, and Denounces Democrats as ‘Vicious’",positive,8
Pelosi Rebukes Trump for Prayer Breakfast Remarks,neutral,7
Trump Hails Acquittal and Lashes Out at His ‘Evil’ and ‘Corrupt’ Opponents,negative,12
Full Video: Trump Speaks After Impeachment Acquittal,neutral,7
"Sanders Raises $25 Million in January, a Huge Show of Financial Strength",neutral,12
Trump Gives Venezuela’s Guaidó the Embrace He Wanted,neutral,8
"Biden and Warren Seek Revival, With Two Very Different Strategies",neutral,10
"Biden and Warren Seek Revival, With Two Very Different Strategies",neutral,10
Draft Executive Order Would Give Trump a New Target: Modern Design,neutral,11
Trump Called for Paid Family Leave. Here’s Why Few Democrats Clapped.,neutral,11
Senate Votes to Acquit President Trump,positive,6
Trump Acquitted of Two Impeachment Charges in Near Party-Line Vote,positive,10
What Went Wrong for Joe Biden in Iowa,negative,8
Full Transcript of Trump's State of The Union Address,neutral,9
Six Takeaways From Trump’s State of the Union Address,neutral,9
"Trump and Pelosi: Snubs, Then a Torn-Up Speech",neutral,8
Full Analysis of Trump's 2020 State of the Union Speech,neutral,10
"Thailand, Coronavirus, Trump: Your Monday Briefing",neutral,6
New York to Sue Trump Administration Over Global Entry Freeze,negative,10
"Putin Rejects Oil Deal With Belarus, Increasing Pressure for Merger",neutral,10
"Nigeria ‘Blindsided’ by Trump Travel Ban, Its Top Diplomat Says",negative,10
Trump Warns Senate Not to Approve War Powers Resolution on Iran,negative,11
Buttigieg Faces New Urgency in Bid to Win Minority Voters,neutral,10
Trump and Kushner Saw Super Bowl Ad as Way of Making Inroads With Black Voters,neutral,15
AP VoteCast: Iowa Dems Split on Best Challenger for Trump,neutral,10
"Sans Gavel, Roberts Is Among 4 Justices at Trump Speech",neutral,10
Trump Uses State of Union to Campaign Pelosi Rips Up Speech,neutral,11
Hunting Conference With Beach Boys and Trump Jr. Draws Protests,negative,10
Hunting Conference With Beach Boys and Trump Jr. Draws Protests,negative,10
Guests Help Trump Highlight State of the Union Themes,neutral,9
Bloomberg Doubles Ad Spending After Chaos of Iowa Caucuses,neutral,9
Trump Says Prosecutors ‘Ought to Apologize’ to Roger Stone,neutral,9
New York Governor Signals Possible Compromise With Trump in Immigration Dispute,neutral,11
Moderate Democrats Fear Bernie Sanders Could Cost Them the House,negative,10
"Deval Patrick, Latecomer to the 2020 Race, Drops Out",negative,9
Lawmakers Want Ivanka Trump's Women's Program to Become Law,positive,9
U.S. Presidential Candidate Bloomberg Endorsed by Three Black Lawmakers,positive,9
Buttigieg Lands Black South Carolina Lawmaker's Endorsement,neutral,7
Charges Dropped Against Guard Accused of Threatening Trump,neutral,8
"After New Hampshire Surge, Klobuchar Turns to Nevada, Beyond",neutral,9
Bernie Sanders Scores Narrow Victory in New Hampshire Primary,positive,9
Former Massachusetts Governor Patrick to End 2020 Presidential Bid: CBS,neutral,10
Trump’s War Against ‘the Deep State’ Enters a New Stage,positive,10
Senator Bennet Drops Out of 2020 Democratic Presidential Race,negative,9
Trump Takes On Bloomberg and Once Again Hijacks a News Cycle,positive,11
Michael Bennet Drops Out of the 2020 Presidential Race,negative,9
"Exit Polls: Sanders, Buttigieg, Klobuchar Locked in Tight Race for New Hampshire",positive,12
Andrew Yang Drops Out of Presidential Race,neutral,7
Trump Adviser Pushes Utah Congressman for Top Intelligence Post,negative,9
"Responding to Critics, Bloomberg Omits Role in Expanding Stop-and-Frisk",neutral,9
Steyer's Wife Moves to S. Carolina for Rest of 2020 Campaign,neutral,11
U.S. Justice Department Declines to Offer Court Sentencing Guidance on Trump Adviser Stone,neutral,13
Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,neutral,13
"Elizabeth Warren, in New Memo, Outlines Her Path and Rivals’ Flaws",neutral,11
Warren Betting That Getting Personal Can Help Her Rebound,negative,9
Trump and Bloomberg Call Each Other Racist as 2020 Election Fight Heats Up,negative,13
Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,negative,8
Biden Heading to South Carolina Sanders Steady as New Hampshire Votes,neutral,11
Klobuchar Surge in New Hampshire Could Reshuffle Democratic White House Race,positive,11
